Unique_ID,X,Y,composite1,Riverdis_value_remap,Road_value_remap,Railway_value_remap,Space_value_remap,Riverquality_value_remap,SUM_public,SUM_educat,SUM_Changi,SUM_reside,SUM_social,All_Ages_2,Aged_0_15,Aged_16_29,Aged_30_44,Aged_45_64,Aged_65__2,Working_ag,Age_Struct,Persons_pe,All_househ,Couple_wit,Couple_w_1,House_Pric,House_Sale,Employment,Unemployme,Public_Tra,Transport,Transpor_1,Transpor_2,Household,Househol_1
1,538666,178720,0.54,0.97,0.03,0,0.01,0,2145.422328,0,0,0,0,1738,314,476,520,303,125,1299,1355,118,731,125,179,385000,37,66.9,6.6,3,0,100,0,70988,53722
2,538852,178720,0.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,538573,178774,0.62,0.52,0.12,0,0.08,0,1490.272921,641.132019,0,0,0,1707,303,433,624,235,112,1292,1264,188,737,108,154,310000,45,69.4,5.7,3,0,100,0,63194,47825
4,538759,178774,0.54,1,0,0,0.79,0,1015.749582,0,0,0,0,1738,314,476,520,303,125,1299,1355,118,731,125,179,385000,37,66.9,6.6,3,0,100,0,70988,53722
5,538945,178774,0.46,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,538666,178828,0.54,0.69,0.06,0,0,0,3014.947584,0,0,0,0,1738,314,476,520,303,125,1299,1355,118,731,125,179,385000,37,66.9,6.6,3,0,100,0,70988,53722
7,538852,178828,0.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,538573,178881,0.62,0.21,0.11,0,0,0,2471.361346,0,0,0,0,1707,303,433,624,235,112,1292,1264,188,737,108,154,310000,45,69.4,5.7,3,0,100,0,63194,47825
9,538759,178881,0.54,1,0,0,0.89,0,287.6745987,0,0,0,0,1738,314,476,520,303,125,1299,1355,118,731,125,179,385000,37,66.9,6.6,3,0,100,0,70988,53722
10,538945,178881,0.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,538294,178935,0.23,0,0,0,0.99,0,0,0,0,0,0,1840,340,411,533,371,185,1315,1257,45,779,110,169,357500,31,63.6,7.7,3.7,0,98.3,0.3,51083,38662
12,538480,178935,0.62,0.12,0.09,0,0,0,1761.88449,0,0,692.344017,0,1707,303,433,624,235,112,1292,1264,188,737,108,154,310000,45,69.4,5.7,3,0,100,0,63194,47825
13,538666,178935,0.54,0.84,0.02,0,0.11,0,2794.405586,0,0,0,0,1707,303,433,624,235,112,1292,1264,188,737,108,154,310000,45,69.4,5.7,3,0,100,0,63194,47825
14,538852,178935,0.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,537828,178989,0.46,1,0,0,0.14,0,141.2799988,0,0,209.628006,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
16,538015,178989,0.23,0.18,0.01,0,0.94,0,107.2139969,0,0,0,0,1840,340,411,533,371,185,1315,1257,45,779,110,169,357500,31,63.6,7.7,3.7,0,98.3,0.3,51083,38662
17,538387,178989,0.62,0.18,0.02,0,0.35,0,1681.519497,0,1.657590032,0,0,1707,303,433,624,235,112,1292,1264,188,737,108,154,310000,45,69.4,5.7,3,0,100,0,63194,47825
18,538573,178989,0.54,0.37,0.03,0,0,0,1970.92457,0,0,0,0,1707,303,433,624,235,112,1292,1264,188,737,108,154,310000,45,69.4,5.7,3,0,100,0,63194,47825
19,538759,178989,0.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,537735,179043,0.54,1,0,0,0,0,0,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
21,537921,179043,0.54,0.7,0.06,0.04,0.46,0,232.9983361,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
22,538108,179043,0.23,0.01,0,0,0.45,0,1118.22998,0,0,0,0,1840,340,411,533,371,185,1315,1257,45,779,110,169,357500,31,63.6,7.7,3.7,0,98.3,0.3,51083,38662
23,538294,179043,0.23,0.13,0.04,0,0.16,0,474.2103062,0,200.5147957,460.6230011,0,1707,303,433,624,235,112,1292,1264,188,737,108,154,310000,45,69.4,5.7,3,0,100,0,63194,47825
24,538480,179043,0.54,0.43,0.08,0,0,0,2484.609192,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
25,538666,179043,0.54,0.99,0.02,0,0.54,0,2329.362244,0,0,0,0,1707,303,433,624,235,112,1292,1264,188,737,108,154,310000,45,69.4,5.7,3,0,100,0,63194,47825
26,538852,179043,0.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,537828,179096,0.54,1,0.02,0,0.02,0,0.186869106,0,0,1135.089966,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
28,538015,179096,0.54,0.2,0,0,0,0,7823.5,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
29,538201,179096,0.23,0.01,0.03,0,0.19,0,17.0625,0,0,213.1940002,0,1840,340,411,533,371,185,1315,1257,45,779,110,169,357500,31,63.6,7.7,3.7,0,98.3,0.3,51083,38662
30,538387,179096,0.54,0.54,0.08,0,0,0,1773.380217,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
31,538573,179096,0.54,0.74,0.03,0,0,0,3418.174587,0,0,350.882679,0,1707,303,433,624,235,112,1292,1264,188,737,108,154,310000,45,69.4,5.7,3,0,100,0,63194,47825
32,538759,179096,0.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,537735,179150,0.54,1,0,0,0,0,0,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
34,537921,179150,0.54,0.47,0.03,0.02,0.08,0,2096.209046,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
35,538108,179150,0.23,0,0,0,0,0,800.7199707,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
36,538294,179150,0.62,0.24,0.08,0,0,0,1623.730711,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
37,538480,179150,0.54,0.94,0.03,0,0,0,1850.720712,0,0,908.8129883,0,1707,303,433,624,235,112,1292,1264,188,737,108,154,310000,45,69.4,5.7,3,0,100,0,63194,47825
38,538666,179150,0.54,1,0,0,0.96,0,82.33399963,0,0,1.891680002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,538852,179150,0.54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,537828,179204,0.54,0.88,0.04,0,0,0,1606.610954,0,0,643.8389893,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
41,538015,179204,0.54,0.11,0,0,0.43,0,1000.288986,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
42,538201,179204,0.62,0.05,0.03,0,0.12,0,1545.575626,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
43,538387,179204,0.54,0.83,0.07,0,0,0,2250.100771,0,0,166.9949951,0,1652,456,374,379,329,114,1082,1094,246,665,123,81,250000,6,46.7,14.6,3.2,0,100,0,34401,26011
44,538573,179204,0.54,1,0.01,0,0.66,0,0,0,0,913.2713614,0,1707,303,433,624,235,112,1292,1264,188,737,108,154,310000,45,69.4,5.7,3,0,100,0,63194,47825
45,538759,179204,0.31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,537735,179258,0.54,1,0,0,0,0,0,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
47,537921,179258,0.54,0.31,0.02,0.07,0.09,0,2468.778767,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
48,538108,179258,0.62,0,0.03,0,0.11,0,1740.879295,0,0,336.4720078,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
49,538294,179258,0.62,0.25,0.12,0,0.25,0,359.2718124,0,0,154.1470032,0,1652,456,374,379,329,114,1082,1094,246,665,123,81,250000,6,46.7,14.6,3.2,0,100,0,34401,26011
50,538480,179258,0.54,0.9,0.03,0,0.17,0,908.0770111,0,0,973.6070251,0,1652,456,374,379,329,114,1082,1094,246,665,123,81,250000,6,46.7,14.6,3.2,0,100,0,34401,26011
51,538666,179258,0.31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,537828,179311,0.54,0.9,0.04,0,0,0,1469.07003,0,0,739.3269806,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
53,538015,179311,0.62,0.08,0.03,0,0.03,0,400.2360001,0,0,1414.283422,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
54,538201,179311,0.62,0.02,0.02,0,0.17,0,934.5231745,0,0,821.6009827,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
55,538387,179311,0.54,0.39,0.02,0,0.19,0,371.3904953,0,0,2515.596069,0,1652,456,374,379,329,114,1082,1094,246,665,123,81,250000,6,46.7,14.6,3.2,0,100,0,34401,26011
56,538573,179311,0.54,1,0,0,0.96,0,0,0,0,0,0,1652,456,374,379,329,114,1082,1094,246,665,123,81,250000,6,46.7,14.6,3.2,0,100,0,34401,26011
57,538759,179311,0.31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,537735,179365,0.54,1,0.02,0,0,0,1518.810997,0,0,169.7039948,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
59,537921,179365,0.54,0.34,0.05,0.07,0,0,193.6912003,0,0,3105.339996,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
60,538108,179365,0.62,0,0.06,0,0,0,3121.919014,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
61,538294,179365,0.62,0.13,0.09,0,0.12,0,176.5657997,0,0,1123.784508,0,1652,456,374,379,329,114,1082,1094,246,665,123,81,250000,6,46.7,14.6,3.2,0,100,0,34401,26011
62,538480,179365,0.31,0.87,0.01,0,0.55,0,0,0,0,727.1399841,0,1652,456,374,379,329,114,1082,1094,246,665,123,81,250000,6,46.7,14.6,3.2,0,100,0,34401,26011
63,538666,179365,0.31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,537828,179419,0.54,0.94,0,0,0,0,585.5300293,0,0,3396.669922,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
65,538015,179419,0.54,0.09,0.06,0,0,0,505.9660034,0,0,1379.529968,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
66,538201,179419,0.62,0,0.02,0,0.5,0,1303.958908,0,0,0,0,3187,636,974,1054,354,169,2382,2032,106,1168,140,245,385000,112,62.1,8.9,4.1,0,82.7,17.3,51623,39071
