Unique_ID,X,Y,NAME,DISTRICT,Hectare,EnvironmentalValue,EnvironmentalComposite,RiverDistance,RoadDistance,RailwayDistance,SpaceValue,RiverQuality,PublicBuilding,EducationBuilding,IndustryBuilding,ResidentBuilding,PerHousehold,Aged_0_15,Aged_16_29,Aged_30_44,Aged_45_64,Aged_65__2,Aged_Working,Population,PopulationDensity,PresonsHectare,HousePrice,HouseSaleRate,EmploymentRate,UnemployRate,AccessToTraffic,Traffic,Transportation,ChildrenObesityRate,IncapacityRate,CrimeRate,DeliberateFires,StudentScore,StudentAbsence,ChildrenInLow,AceessToGreenSpace,WellBeing,LifeExpectancy,PM2_5_Conc,Attribut_1,Attribut_2,OtterRecordYear
1,538666,178720,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.0420001,0.54,0.97,0.03,0,0.01,0,2145.422328,0,0,0,2.4,19.58572765,29.69046611,32.43496298,18.89960343,7.796866101,88.14376078,196.5513871,119,118,385000,0.021,66.9,6.55,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
2,538852,178720,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.5700001,0.54,1,0,0,1,0,0,0,0,0,2.4,19.58572765,29.69046611,32.43496298,18.89960343,7.796866101,88.14376078,196.5513871,119,118,385000,0.021,66.9,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
3,538573,178774,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.73,0.62,0.52,0.12,0,0.08,0,1490.272921,641.132019,0,0,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,118,310000,0.028,69.4,6.1,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
4,538759,178774,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.465,0.54,1,0,0,0.79,0,1015.749582,0,0,0,2.4,19.58572765,29.69046611,32.43496298,18.89960343,7.796866101,88.14376078,196.5513871,119,118,385000,0.021,66.9,6.55,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,2015
5,538945,178774,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.53,0.46,1,0,0,1,0,0,0,0,0,2.4,19.58572765,29.69046611,32.43496298,18.89960343,7.796866101,88.14376078,196.5513871,119,118,385000,0.021,66.9,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
6,538666,178828,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.804,0.54,0.69,0.06,0,0,0,3014.947584,0,0,0,2.4,19.58572765,29.69046611,32.43496298,18.89960343,7.796866101,88.14376078,196.5513871,119,118,385000,0.021,66.9,6.55,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
7,538852,178828,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.5700001,0.54,1,0,0,1,0,0,0,0,0,2.4,19.58572765,29.69046611,32.43496298,18.89960343,7.796866101,88.14376078,196.5513871,119,118,385000,0.021,66.9,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
8,538573,178881,Blackwall & Cubitt Town,Tower Hamlets,188.125,0.445,0.62,0.21,0.11,0,0,0,2471.361346,0,0,0,2.2,19.24262902,27.49854246,39.62838451,14.92415122,7.112786964,142.2107728,250.617267,178.5,188,310000,0.028,69.4,6.1,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
9,538759,178881,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.515,0.54,1,0,0,0.89,0,287.6745987,0,0,0,2.4,19.58572765,29.69046611,32.43496298,18.89960343,7.796866101,88.14376078,196.5513871,119,118,385000,0.021,66.9,6.55,3.5999999,3,50,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
10,538945,178881,Blackwall & Cubitt Town,Tower Hamlets,188.125,1.5700001,0.54,1,0,0,1,0,0,0,0,0,2.4,19.58572765,29.69046611,32.43496298,18.89960343,7.796866101,88.14376078,196.5513871,119,118,385000,0.021,66.9,3.25,3.5999999,0,0,25.7,1.4,43,0.9,343,1.3,33,3,7.9200001,81,16.11,2,17,0
